profile_id,user_id,github_repo,full_name,location,years_of_experience,current_position,education_background,privacy_settings,updated_at,avatar_url
28,39,,王志豪,桃園市,0,Bootcamp 學員,私立大學 體育休閒系 學士，服完兵役後參加為期 3 個月軟體工程師 Bootcamp，目前學習 Python 與 Flask 基礎,,2026-03-04 09:00:00+00,
29,40,,李佳穎,台中市,1,財務助理,逢甲大學 會計學系 學士，畢業後任職財務助理 1 年，熟悉 Excel 進階操作與樞紐分析表，無程式語言開發經驗,,2026-03-04 09:00:00+00,
30,41,https://github.com/test-designer-wu,吳宜蓁,台北市,1,UI 設計師,實踐大學 視覺傳達設計系 學士，現任 UI 設計師 1 年，熟悉 Figma，對 CSS 與 JavaScript 有入門概念，無完整開發經驗,,2026-03-04 09:00:00+00,
31,42,https://github.com/kiki,歐琪琪(Kiki),新北市,0,麵包店員工,"國立中興大學, 森林學系, 學士",,2026-03-04 13:52:24.608545+00,https://nyslsqlgsavvfwiducdu.supabase.co/storage/v1/object/public/avatars/1d3220ef-9f49-4ce7-98fe-bbafdccf29fa_518837a58367459e9a32905955b5ca97.jpg
32,43,,bot_460124b5,,,,,,2026-03-04 11:34:13.050101+00,
33,44,,bot_8566978c,,,,,,2026-03-04 11:35:26.110618+00,
34,45,,bot_af028c4b,,,,,,2026-03-04 11:36:08.571462+00,
35,46,,bot_7b2b94f0,,,,,,2026-03-04 11:37:05.576714+00,
36,47,,bot_8acc3caf,,,,,,2026-03-04 11:37:44.148123+00,
37,48,,bot_5ac8335e,,,,,,2026-03-04 11:38:59.23792+00,
38,49,,bot_abe2cade,,,,,,2026-03-04 11:40:44.948055+00,
39,50,,bot_9d7623fe,,,,,,2026-03-04 11:41:25.694476+00,
40,51,,bot_8cc546fd,,,,,,2026-03-04 11:42:18.599411+00,
41,52,,bot_d7eb2e72,,,,,,2026-03-04 11:57:10.578931+00,
42,53,,bot_61d3143f,,,,,,2026-03-04 11:58:02.354792+00,
43,54,,bot_ecbf74bc,,,,,,2026-03-04 11:58:34.378545+00,
44,55,,bot_6011aad2,,,,,,2026-03-04 12:00:00.726234+00,https://nyslsqlgsavvfwiducdu.supabase.co/storage/v1/object/public/avatars/47df8d09-eaa0-4713-a5e4-61887097aeb7_1189174cd3704c789036e831daea32c1.png
45,56,,bot_1acc33d6,,,,,,2026-03-04 12:47:40.700729+00,https://nyslsqlgsavvfwiducdu.supabase.co/storage/v1/object/public/avatars/fc344e6c-d973-4af8-8224-8d547390e3e0_88bc26a1b4c64a86882676ac16280426.png
46,57,,bot_34c06446,,,,,,2026-03-04 12:49:40.235482+00,https://nyslsqlgsavvfwiducdu.supabase.co/storage/v1/object/public/avatars/0aa6c88a-94ed-4749-9064-4403f88801d4_5fefd7094de9472f9f75df173469de5d.png
47,58,,bot_56bed655,,,,,,2026-03-04 12:52:16.845673+00,https://nyslsqlgsavvfwiducdu.supabase.co/storage/v1/object/public/avatars/e3e2bc80-8a37-4f13-a2ad-0c43418fcebc_bf195e13439a42ed97b86ec6d996e1c7.png
48,59,,ab c,,,,,,2026-03-05 02:25:48.556699+00,
49,60,,bot_00bc111b,,,,,,2026-03-06 02:59:38.914757+00,https://nyslsqlgsavvfwiducdu.supabase.co/storage/v1/object/public/avatars/6cfa39da-e94f-47bf-9584-cce95949829e_99f4f44c990945589a797b72ac4dd2a0.png
50,61,,bot_6b2bb3e4,,,,,,2026-03-06 03:00:52.438308+00,https://nyslsqlgsavvfwiducdu.supabase.co/storage/v1/object/public/avatars/af0f37e7-c2ad-4391-8853-04678b622925_9a060f61af7e4080bdfd82e24814725e.png
51,62,,bot_8b89af82,,,,,,2026-03-06 03:02:17.536689+00,https://nyslsqlgsavvfwiducdu.supabase.co/storage/v1/object/public/avatars/496eb53f-0f12-44c9-ad7c-4dac759bcd96_6b963b78d3564805a0be0bb2312a9166.png
52,63,,Ryan,,,,,,2026-03-07 02:43:00.652104+00,
53,67,,gap_bot_f3ed33f3,,,,,,2026-03-10 08:40:18.349489+00,
54,68,,gap_bot_681070ef,,,,,,2026-03-10 08:41:29.36111+00,
55,69,,gap_bot_1a08913c,,,,,,2026-03-10 08:43:07.492831+00,
